1	1.826762	2.223449	1.801875	1.698016	0.408555	2.060669	
1	0.773685	1.257293	0.891063	0.790649	0.359729	0.727433	
0	0.517505	0.800236	0.548026	0.434756	0.696655	1.168281	
1	2.128597	3.044494	1.669547	1.889759	0.629559	2.511409	
1	2.128597	3.044494	1.669547	1.889759	0.629559	2.511409	
1	0.800410	0.982634	0.780966	0.909735	-0.017290	0.639129	
1	-0.086785	0.322369	0.032627	0.283437	0.488131	0.607720	
1	1.797950	2.613113	1.586932	2.198804	0.687529	1.762652	
1	-0.276234	-0.392658	-0.189448	-0.041592	0.805268	-0.094472	
1	0.917931	1.918197	1.125691	0.732822	0.536988	1.792771	
1	0.944994	0.588245	0.831321	0.632281	-0.333894	0.435884	
0	0.944994	0.588245	0.831321	0.632281	-0.333894	0.435884	
1	0.542677	0.642985	0.413866	0.224836	0.151089	0.477311	
0	1.132358	1.741578	0.942611	0.732333	0.415062	1.211367	
1	0.320249	-0.474399	0.869085	0.114989	1.946979	0.740260	
1	-1.149034	-1.373266	-1.236954	-1.091457	-0.586946	-0.813774	
1	0.396421	0.876318	0.110038	0.134325	0.148539	0.492310	
0	1.498168	1.680873	1.386886	1.081017	0.124149	1.016535	
1	0.330451	0.602601	-0.040251	-0.026801	0.202316	0.328733	
1	1.029600	1.723873	0.696538	1.319428	0.279656	1.455030	
1	0.224209	-0.430591	0.554589	-0.288127	-0.131211	0.088205	
1	-0.035935	-0.129420	-0.203583	-0.100507	0.465150	-0.167282	
0	0.827188	1.020515	0.763539	0.676288	-0.249019	0.371486	
1	0.522970	1.034196	0.589271	0.306250	0.820620	1.016200	
1	-0.674860	-0.385352	-0.817681	-0.206335	0.199839	-0.944368	
1	0.572254	-0.096675	0.341748	0.165086	-0.294378	-0.186717	
1	-0.038749	0.267873	-0.314550	-0.166277	0.269813	0.002050	
0	0.302839	0.564413	0.525224	0.441582	0.482399	1.007654	
0	0.207316	0.510861	0.257291	0.005183	0.439427	0.554344	
1	-0.718743	-1.080140	-0.426739	-0.996724	0.161223	-0.427389	
1	1.026525	1.717748	0.919480	1.126538	0.669371	1.826915	
0	0.413529	0.971564	-0.154973	0.046295	-0.176107	0.198034	
0	0.644829	0.045530	0.621098	0.777027	0.357683	0.795576	
0	0.081237	-0.903213	-0.301919	0.591928	0.441128	-0.225525	
0	0.938559	0.975980	0.836422	0.855218	0.356290	1.426968	
1	1.853367	2.760876	1.759367	1.704073	1.803465	2.735671	
0	0.493818	1.135606	0.270750	-0.162404	-0.002784	0.321083	
0	0.509890	0.592369	0.053678	-0.377676	-1.476475	-1.207731	
1	-0.451298	-1.568312	-0.201158	-0.521517	0.296063	-0.639018	
1	-0.009204	0.048146	0.111475	0.255308	0.236674	0.266276	
1	-0.025613	-0.368662	0.252038	0.449038	0.381971	0.609437	
1	-0.218778	-0.286261	-0.319331	-1.156050	-0.059893	-0.538061	
0	0.616305	0.682835	0.252405	0.002836	0.628002	0.418262	
0	-0.342242	0.679055	-0.157356	-0.244429	1.481697	0.946849	
0	0.146142	0.270259	0.464805	0.374216	0.118985	0.758782	
1	0.403673	0.140448	0.128933	-0.112585	-0.255382	-0.651181	
